ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Price Prediction
1539,1.02,Very Good,F,SI1,EX,VG,AGSL," $5,386 ",
1540,0.9,Very Good,D,SI1,VG,G,GIA," $4,537 ",
1541,0.75,Ideal,D,VS2,ID,ID,AGSL," $3,679 ",
1542,1.57,Ideal,H,VS2,VG,EX,GIA," $12,004 ",
1543,2.03,Ideal,F,VS2,EX,EX,GIA," $26,365 ",
1544,1.72,Ideal,E,VS2,VG,EX,GIA," $19,920 ",
1545,0.9,Ideal,F,SI1,EX,VG,GIA," $4,795 ",
1546,0.88,Very Good,F,VVS2,VG,VG,GIA," $5,052 ",
1547,0.75,Very Good,D,SI1,G,G,GIA," $3,046 ",
1548,2.01,Good,I,VS2,VG,VG,GIA," $15,147 ",
1549,1.15,Very Good,E,VS1,VG,G,GIA," $8,906 ",
1550,1.24,Ideal,H,VS1,EX,EX,GIA," $8,299 ",
1551,1.0,Very Good,E,SI1,VG,VG,GIA," $5,571 ",
1552,1.15,Ideal,G,VS1,VG,EX,GIA," $8,109 ",
1553,1.02,Good,H,SI1,VG,G,GIA," $4,654 ",
1554,1.01,Fair,E,SI1,VG,VG,GIA," $5,085 ",
1555,2.01,Ideal,D,VS1,VG,VG,GIA," $37,701 ",
1556,1.36,Very Good,G,IF,EX,VG,GIA," $12,515 ",
1557,1.11,Very Good,G,VS1,EX,EX,GIA," $8,129 ",
1558,1.8,Ideal,G,VS2,EX,EX,GIA," $20,343 ",
1559,1.04,Very Good,G,IF,VG,G,GIA," $8,225 ",
1560,1.04,Ideal,H,SI1,EX,EX,GIA," $6,458 ",
1561,1.21,Ideal,I,VS1,ID,ID,AGSL," $6,418 ",
1562,0.92,Ideal,H,SI1,EX,EX,GIA," $4,325 ",
1563,0.82,Ideal,I,VS2,VG,VG,GIA," $2,759 ",
1564,1.01,Good,E,SI1,EX,VG,GIA," $4,713 ",
1565,1.24,Ideal,H,VVS1,ID,ID,AGSL," $8,693 ",
1566,0.77,Good,I,VS1,VG,G,AGSL," $2,184 ",
1567,0.93,Very Good,G,VS2,VG,VG,GIA," $5,181 ",
1568,0.81,Ideal,E,SI1,EX,VG,GIA," $3,109 ",
1569,1.24,Ideal,G,VS2,EX,VG,GIA," $8,797 ",
1570,2.01,Ideal,F,VS2,VG,VG,GIA," $27,241 ",
1571,0.9,Fair,D,SI1,VG,VG,GIA," $4,105 ",
1572,1.81,Ideal,G,VVS2,EX,EX,GIA," $24,561 ",
1573,0.81,Good,I,VS1,G,G,GIA," $3,042 ",
1574,2.0,Very Good,D,VS1,EX,VG,GIA," $30,542 ",
1575,0.9,Very Good,D,SI1,EX,VG,GIA," $4,799 ",
1576,2.01,Very Good,F,SI1,G,VG,GIA," $19,789 ",
1577,1.05,Very Good,G,SI1,ID,ID,AGSL," $5,197 ",
1578,1.24,Very Good,G,VS1,VG,EX,GIA," $9,738 ",
1579,0.9,Good,H,VS1,VG,VG,GIA," $3,796 ",
1580,2.15,Ideal,I,VS2,EX,EX,GIA," $19,592 ",
1581,0.82,Very Good,I,SI1,G,VG,GIA," $2,602 ",
1582,1.1,Good,G,SI1,VG,VG,GIA," $5,468 ",
1583,1.35,Ideal,H,SI1,VG,G,GIA," $7,780 ",
1584,1.0,Very Good,F,VS2,EX,EX,GIA," $6,267 ",
1585,0.75,Very Good,D,VVS1,G,VG,GIA," $5,239 ",
1586,1.09,Very Good,F,SI1,VG,G,GIA," $5,463 ",
1587,1.22,Ideal,G,VS1,ID,ID,AGSL," $9,339 ",
1588,0.84,Very Good,I,VVS2,EX,ID,AGSL," $3,392 ",
1589,1.8,Very Good,I,SI1,VG,G,GIA," $11,793 ",
1590,1.14,Very Good,H,VS2,VG,VG,GIA," $6,103 ",
1591,1.07,Signature-Ideal,F,SI1,EX,EX,GIA," $7,357 ",
1592,1.23,Ideal,I,SI1,EX,EX,GIA," $6,449 ",
1593,2.01,Good,I,VS2,EX,EX,GIA," $16,304 ",
1594,1.03,Ideal,E,VVS2,VG,VG,GIA," $9,712 ",
1595,1.07,Signature-Ideal,G,VS1,ID,ID,AGSL," $8,456 ",
1596,1.68,Ideal,G,VS1,VG,EX,GIA," $16,985 ",
1597,1.01,Ideal,D,VVS2,ID,ID,AGSL," $11,082 ",
1598,1.29,Ideal,D,VS2,EX,EX,GIA," $11,182 ",
1599,1.23,Very Good,G,VS1,G,G,GIA," $8,494 ",
1600,1.01,Very Good,I,SI1,EX,VG,GIA," $4,794 ",
1601,1.01,Ideal,I,VS1,EX,VG,GIA," $5,182 ",
1602,2.06,Ideal,E,SI1,VG,G,GIA," $24,226 ",
1603,1.2,Good,I,VS1,VG,VG,GIA," $5,600 ",
1604,1.01,Very Good,H,SI1,VG,VG,GIA," $4,868 ",
1605,1.5,Ideal,G,VS2,ID,ID,AGSL," $13,135 ",
1606,0.77,Very Good,D,VS2,G,VG,GIA," $3,787 ",
1607,1.61,Very Good,G,SI1,VG,G,GIA," $12,028 ",
1608,1.01,Very Good,E,VS2,EX,EX,GIA," $6,754 ",
1609,1.01,Good,G,VS2,EX,G,AGSL," $5,614 ",
1610,2.02,Very Good,I,VS2,G,G,GIA," $15,759 ",
1611,0.9,Good,F,VS2,VG,EX,GIA," $4,268 ",
1612,0.76,Signature-Ideal,I,VS2,EX,EX,GIA," $3,075 ",
1613,0.78,Ideal,G,VS1,EX,EX,GIA," $3,147 ",
1614,1.11,Very Good,D,VVS1,VG,VG,GIA," $12,200 ",
1615,1.57,Ideal,E,VVS2,VG,VG,GIA," $21,465 ",
1616,1.23,Very Good,G,VVS2,EX,EX,GIA," $9,999 ",
1617,2.39,Ideal,I,VS1,EX,EX,GIA," $23,625 ",
1618,1.02,Very Good,H,SI1,VG,VG,GIA," $4,508 ",
1619,0.88,Very Good,I,SI1,G,G,GIA," $2,699 ",
1620,0.77,Ideal,I,VS1,EX,EX,GIA," $2,798 ",
1621,1.51,Ideal,H,VS1,EX,EX,GIA," $10,186 ",
1622,1.26,Ideal,H,VS1,EX,EX,GIA," $8,238 ",
1623,1.21,Ideal,I,SI1,VG,VG,GIA," $5,452 ",
1624,0.9,Ideal,E,SI1,VG,VG,GIA," $4,471 ",
1625,1.24,Ideal,G,VS2,EX,EX,GIA," $9,209 ",
1626,2.1,Very Good,D,SI1,VG,VG,GIA," $19,644 ",
1627,1.0,Very Good,H,VS1,EX,VG,GIA," $5,619 ",
1628,1.0,Ideal,F,VS1,EX,EX,GIA," $7,928 ",
1629,0.76,Ideal,I,VS1,ID,ID,AGSL," $2,679 ",
1630,1.01,Ideal,G,VS2,VG,EX,GIA," $6,449 ",
1631,1.13,Very Good,G,VVS1,EX,EX,GIA," $9,357 ",
1632,0.91,Ideal,I,VVS2,ID,ID,AGSL," $4,663 ",
1633,2.03,Very Good,I,VS2,VG,VG,GIA," $17,297 ",
1634,1.01,Very Good,I,SI1,EX,VG,AGSL," $4,243 ",
1635,0.9,Very Good,E,SI1,VG,VG,GIA," $4,324 ",
1636,1.21,Very Good,I,SI1,G,VG,GIA," $5,452 ",
1637,1.28,Ideal,E,VS2,VG,VG,GIA," $9,568 ",
1638,1.04,Ideal,I,IF,VG,VG,GIA," $6,155 ",
1639,1.72,Ideal,F,VS2,VG,EX,GIA," $17,779 ",
1640,1.52,Very Good,G,VS1,VG,VG,GIA," $13,492 ",
1641,2.2,Very Good,H,VS2,EX,EX,GIA," $20,072 ",
1642,2.0,Very Good,H,SI1,EX,EX,GIA," $8,803 ",
1643,1.5,Ideal,F,VS2,EX,EX,GIA," $13,955 ",
1644,2.2,Good,I,VS1,VG,VG,GIA," $19,830 ",
1645,1.71,Ideal,D,SI1,EX,EX,GIA," $16,575 ",
1646,2.0,Very Good,E,VS2,VG,VG,GIA," $24,530 ",
1647,1.65,Ideal,I,SI1,EX,EX,GIA," $10,365 ",
1648,1.62,Ideal,H,VVS2,VG,VG,GIA," $13,843 ",
1649,1.7,Very Good,G,VS2,EX,EX,GIA," $18,107 ",
1650,1.0,Good,E,VS2,G,G,GIA," $6,445 ",
1651,1.0,Good,D,VS2,VG,G,GIA," $6,389 ",
1652,1.72,Ideal,G,VVS2,VG,EX,GIA," $19,353 ",
1653,1.53,Ideal,G,SI1,EX,VG,GIA," $10,947 ",
1654,2.01,Very Good,H,VS2,VG,G,GIA," $19,044 ",
1655,1.21,Good,E,SI1,VG,VG,GIA," $6,861 ",
1656,1.17,Very Good,H,IF,G,G,GIA," $7,644 ",
1657,2.04,Very Good,I,VS1,G,G,GIA," $18,127 ",
1658,1.22,Very Good,G,VVS1,VG,G,GIA," $10,529 ",
1659,0.9,Very Good,I,VS1,VG,VG,GIA," $3,880 ",
1660,1.04,Ideal,G,VS1,EX,EX,GIA," $7,467 ",
1661,1.53,Very Good,I,SI1,EX,EX,GIA," $7,971 ",
1662,1.06,Very Good,D,SI1,G,G,GIA," $5,893 ",
1663,1.04,Ideal,G,VVS2,EX,EX,GIA," $8,515 ",
1664,2.48,Ideal,D,VVS1,EX,EX,GIA," $67,382 ",
1665,0.8,Ideal,H,IF,EX,VG,GIA," $3,831 ",
1666,1.12,Ideal,H,IF,EX,VG,GIA," $7,971 ",
1667,1.01,Very Good,G,VVS2,G,G,GIA," $7,226 ",
1668,2.09,Ideal,D,VS1,EX,EX,GIA," $38,627 ",
1669,1.54,Ideal,F,VS1,VG,VG,GIA," $17,194 ",
1670,0.92,Good,I,VS2,G,G,GIA," $3,785 ",
1671,1.45,Very Good,I,IF,EX,VG,GIA," $9,683 ",
1672,2.48,Very Good,F,VVS1,VG,VG,GIA," $50,585 ",
1673,1.2,Very Good,I,SI1,EX,EX,GIA," $5,955 ",
1674,0.83,Ideal,G,VS2,EX,EX,GIA," $3,849 ",
1675,1.0,Very Good,H,SI1,EX,VG,GIA," $5,161 ",
1676,2.43,Very Good,E,VS1,VG,VG,GIA," $44,379 ",
1677,1.02,Ideal,H,SI1,EX,EX,GIA," $5,301 ",
1678,0.77,Signature-Ideal,F,SI1,EX,EX,GIA," $3,702 ",
1679,1.0,Very Good,E,SI1,VG,G,GIA," $5,718 ",
1680,2.08,Very Good,I,VS2,VG,VG,GIA," $16,664 ",
1681,0.92,Ideal,I,VS2,VG,VG,GIA," $3,679 ",
1682,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL," $7,079 ",
1683,0.76,Ideal,D,SI1,VG,VG,GIA," $3,075 ",
1684,0.77,Very Good,I,VS2,VG,VG,GIA," $2,513 ",
1685,1.52,Ideal,I,IF,EX,EX,GIA," $12,847 ",
1686,2.09,Ideal,G,VS2,G,G,GIA," $26,058 ",
1687,1.27,Ideal,H,VS1,EX,EX,GIA," $8,652 ",
1688,1.01,Good,G,SI1,VG,VG,GIA," $4,781 ",
1689,0.75,Very Good,I,VVS2,ID,ID,AGSL," $2,744 ",
1690,2.07,Ideal,F,VS1,EX,EX,GIA," $33,687 ",
1691,2.5,Ideal,H,VS2,EX,EX,GIA," $29,223 ",
1692,1.71,Ideal,I,SI1,VG,EX,GIA," $10,668 ",
1693,1.52,Very Good,G,SI1,EX,VG,GIA," $11,014 ",
1694,2.17,Very Good,I,SI1,EX,VG,GIA," $15,760 ",
1695,1.3,Ideal,I,IF,EX,VG,GIA," $8,027 ",
1696,1.22,Ideal,H,VVS2,VG,EX,GIA," $7,835 ",
1697,0.9,Very Good,G,IF,EX,VG,GIA," $5,754 ",
1698,2.66,Ideal,G,VVS1,EX,VG,GIA," $46,861 ",
1699,2.16,Ideal,G,VS2,EX,EX,GIA," $27,874 ",
1700,2.05,Ideal,D,VS2,EX,EX,GIA," $31,298 ",
1701,1.02,Very Good,G,VS1,EX,VG,GIA," $6,622 ",
1702,1.01,Very Good,G,VS2,EX,VG,GIA," $5,944 ",
1703,1.0,Good,H,SI1,VG,G,GIA," $4,447 ",
1704,1.01,Very Good,E,VS2,VG,G,GIA," $6,522 ",
1705,2.01,Ideal,F,SI1,EX,EX,GIA," $22,373 ",
1706,1.11,Very Good,F,VS1,G,G,GIA," $8,233 ",
1707,1.06,Ideal,F,VS2,EX,EX,GIA," $7,641 ",
1708,1.14,Very Good,I,SI1,VG,VG,GIA," $4,973 ",
1709,1.36,Signature-Ideal,H,SI1,EX,EX,GIA," $8,989 ",
1710,1.2,Very Good,I,VS2,VG,VG,GIA," $5,986 ",
1711,2.02,Good,I,VS2,VG,G,GIA," $16,593 ",
1712,1.51,Ideal,I,VS2,VG,VG,GIA," $9,337 ",
1713,1.23,Ideal,H,VS1,EX,EX,GIA," $7,803 ",
1714,0.9,Very Good,F,VS1,EX,VG,GIA," $5,167 ",
1715,1.02,Very Good,D,SI1,VG,G,GIA," $5,778 ",
1716,2.1,Ideal,H,VS2,ID,ID,AGSL," $22,093 ",
1717,2.02,Ideal,G,VS1,VG,VG,GIA," $24,579 ",
1718,1.5,Very Good,F,VS2,EX,EX,GIA," $13,537 ",
1719,1.5,Good,I,VS1,G,VG,GIA," $9,278 ",
1720,0.96,Fair,E,SI1,VG,VG,GIA," $4,308 ",
1721,1.1,Very Good,G,VS2,G,VG,GIA," $7,406 ",
1722,1.13,Ideal,H,SI1,EX,VG,GIA," $5,671 ",
1723,1.51,Very Good,G,VVS2,EX,EX,GIA," $15,110 ",
1724,1.06,Very Good,H,SI1,EX,EX,GIA," $5,664 ",
1725,2.07,Very Good,F,VS1,VG,G,GIA," $29,735 ",
1726,1.25,Ideal,F,IF,VG,VG,GIA," $14,551 ",
1727,1.51,Ideal,D,VVS2,ID,ID,AGSL," $20,613 ",
1728,1.01,Ideal,F,VS2,EX,EX,GIA," $7,338 ",
1729,0.75,Very Good,E,SI1,EX,EX,GIA," $2,993 ",
1730,1.5,Ideal,I,VS2,ID,ID,AGSL," $10,181 ",
1731,1.51,Very Good,G,SI1,EX,VG,GIA," $10,947 ",
1732,1.16,Very Good,G,VVS1,G,VG,GIA," $9,023 ",
1733,1.02,Very Good,F,VS1,VG,EX,GIA," $7,010 ",
1734,1.21,Ideal,H,VVS2,ID,ID,AGSL," $7,954 ",
1735,1.08,Very Good,F,VVS2,G,VG,GIA," $8,221 ",
1736,0.94,Very Good,H,VS1,EX,VG,GIA," $4,556 ",
1737,1.74,Very Good,D,SI1,G,VG,GIA," $16,286 ",
1738,2.0,Good,H,VS1,EX,EX,GIA," $17,440 ",
1739,1.04,Very Good,D,VS2,ID,EX,AGSL," $7,653 ",
1740,1.5,Very Good,H,VS1,EX,EX,GIA," $12,152 ",
1741,1.51,Good,I,SI1,G,VG,GIA," $7,461 ",
1742,1.34,Very Good,H,VVS2,VG,VG,GIA," $9,735 ",
1743,1.02,Very Good,G,SI1,VG,VG,GIA," $4,624 ",
1744,1.0,Ideal,F,SI1,EX,EX,GIA," $5,115 ",
1745,1.0,Good,G,SI1,VG,VG,GIA," $4,661 ",
1746,1.17,Ideal,G,VVS2,EX,EX,GIA," $9,142 ",
1747,1.22,Ideal,H,VS1,VG,EX,GIA," $7,418 ",
1748,0.9,Very Good,D,VS2,VG,VG,GIA," $4,981 ",
1749,1.08,Ideal,I,SI1,EX,EX,GIA," $4,705 ",
1750,1.12,Ideal,D,SI1,G,G,GIA," $7,153 ",
1751,1.16,Ideal,F,VS2,EX,EX,GIA," $9,432 ",
1752,2.05,Ideal,G,IF,VG,G,GIA," $34,736 ",
1753,0.81,Ideal,D,SI1,VG,VG,GIA," $4,053 ",
1754,0.9,Very Good,G,VS2,G,VG,GIA," $4,276 ",
1755,2.02,Good,G,SI1,VG,G,GIA," $19,466 ",
1756,2.13,Very Good,G,VS2,VG,G,GIA," $25,921 ",
1757,1.01,Ideal,D,IF,EX,EX,GIA," $19,146 ",
1758,0.87,Very Good,D,SI1,G,G,GIA," $3,664 ",
1759,1.13,Signature-Ideal,H,VS2,EX,EX,GIA," $7,464 ",
1760,2.02,Very Good,F,VS2,VG,G,GIA," $26,435 ",
1761,2.09,Ideal,F,SI1,ID,ID,AGSL," $22,280 ",
1762,1.01,Very Good,E,VS2,EX,VG,GIA," $6,456 ",
1763,0.9,Very Good,I,SI1,VG,VG,GIA," $3,407 ",
1764,1.17,Ideal,F,VVS1,ID,ID,AGSL," $11,029 ",
1765,1.19,Ideal,H,VS2,EX,EX,GIA," $7,633 ",
1766,2.22,Ideal,G,VS1,EX,EX,GIA," $32,516 ",
1767,1.5,Very Good,E,SI1,VG,G,GIA," $12,000 ",
1768,0.95,Very Good,D,SI1,G,G,GIA," $5,101 ",
1769,1.51,Very Good,E,VS2,VG,G,GIA," $12,779 ",
1770,1.15,Ideal,H,VS2,EX,EX,GIA," $6,772 ",
1771,1.02,Ideal,G,VS2,ID,ID,AGSL," $6,499 ",
1772,0.9,Very Good,G,VS1,VG,VG,GIA," $4,813 ",
1773,2.2,Ideal,D,VS2,VG,VG,GIA," $32,780 ",
1774,1.11,Ideal,G,VVS1,EX,EX,GIA," $9,345 ",
1775,1.2,Ideal,E,VVS2,VG,VG,GIA," $11,883 ",
1776,1.51,Very Good,I,VS1,VG,VG,GIA," $10,231 ",
1777,0.9,Good,G,VS2,EX,G,GIA," $4,291 ",
1778,1.09,Ideal,H,VS2,ID,ID,AGSL," $5,732 ",
1779,1.57,Very Good,D,SI1,EX,EX,GIA," $12,697 ",
1780,1.01,Ideal,D,SI1,EX,EX,GIA," $6,257 ",
1781,2.2,Ideal,F,IF,EX,EX,GIA," $48,845 ",
1782,0.9,Very Good,I,VS2,VG,VG,GIA," $3,605 ",
1783,1.58,Ideal,H,VS2,EX,VG,GIA," $11,419 ",
1784,2.15,Very Good,G,VS2,EX,EX,GIA," $25,538 ",
1785,2.01,Very Good,G,SI1,EX,VG,GIA," $19,079 ",
1786,2.15,Very Good,I,VS2,VG,VG,GIA," $17,774 ",
1787,1.51,Good,F,VS2,G,G,GIA," $13,010 ",
1788,2.22,Very Good,H,SI1,VG,VG,GIA," $20,073 ",
1789,1.27,Ideal,G,VS2,EX,EX,GIA," $9,489 ",
1790,1.32,Very Good,H,VVS2,VG,VG,GIA," $9,513 ",
1791,1.04,Ideal,G,VS2,VG,VG,GIA," $6,468 ",
1792,1.07,Very Good,G,VS2,VG,G,GIA," $6,274 ",
1793,0.83,Ideal,H,VS1,ID,ID,AGSL," $3,433 ",
1794,0.77,Very Good,D,SI1,EX,EX,GIA," $3,040 ",
1795,1.05,Ideal,I,SI1,EX,EX,GIA," $4,516 ",
1796,1.52,Ideal,H,SI1,ID,ID,AGSL," $11,797 ",
1797,1.19,Good,H,VS1,EX,EX,GIA," $7,152 ",
1798,0.77,Very Good,F,VS2,VG,EX,GIA," $3,500 ",
1799,1.01,Ideal,D,IF,EX,VG,GIA," $17,458 ",
1800,1.55,Ideal,G,VVS2,EX,EX,GIA," $15,979 ",
1801,2.05,Ideal,I,SI1,VG,VG,GIA," $15,629 ",
1802,2.0,Very Good,F,SI1,G,G,GIA," $18,759 ",
1803,1.51,Very Good,F,VVS2,EX,EX,GIA," $17,203 ",
1804,2.08,Very Good,H,VS1,ID,ID,AGSL," $23,041 ",
1805,2.23,Ideal,I,VVS2,EX,EX,GIA," $22,328 ",
1806,1.29,Ideal,H,VS2,ID,ID,AGSL," $8,482 ",
1807,2.01,Good,H,SI1,VG,VG,GIA," $14,968 ",
1808,1.2,Ideal,D,SI1,EX,EX,GIA," $8,037 ",
1809,2.14,Ideal,I,SI1,EX,EX,GIA," $17,213 ",
1810,1.62,Ideal,I,VVS1,EX,EX,GIA," $12,186 ",
1811,1.11,Ideal,F,VS2,EX,VG,GIA," $8,347 ",
1812,1.5,Good,E,VS2,VG,VG,GIA," $12,649 ",
1813,1.01,Very Good,H,VS2,G,G,GIA," $5,861 ",
1814,2.07,Very Good,H,VS2,EX,EX,AGSL," $19,602 ",
1815,1.0,Fair,F,VS2,G,G,GIA," $6,210 ",
1816,1.14,Very Good,D,SI1,EX,EX,GIA," $6,464 ",
1817,1.2,Good,G,VS2,VG,VG,GIA," $6,793 ",
1818,1.2,Ideal,F,VVS1,EX,EX,GIA," $11,840 ",
1819,0.9,Ideal,I,SI1,EX,EX,GIA," $3,537 ",
1820,2.26,Ideal,F,VS1,EX,G,GIA," $35,200 ",
1821,1.2,Ideal,G,VS1,EX,EX,GIA," $9,625 ",
1822,1.3,Ideal,I,SI1,VG,VG,GIA," $6,451 ",
1823,1.01,Ideal,F,VS1,EX,VG,GIA," $6,945 ",
1824,1.53,Ideal,F,SI1,ID,ID,AGSL," $12,616 ",
1825,0.75,Ideal,I,VS2,EX,EX,GIA," $2,680 ",
1826,0.85,Ideal,G,SI1,VG,EX,GIA," $3,403 ",
1827,1.02,Good,F,SI1,VG,VG,GIA," $4,983 ",
1828,0.81,Very Good,I,VS2,G,G,GIA," $2,714 ",
1829,1.51,Very Good,I,VS2,G,VG,GIA," $9,058 ",
1830,1.0,Good,I,VS1,EX,G,GIA," $4,489 ",
1831,2.1,Very Good,F,VS2,EX,EX,GIA," $29,308 ",
1832,1.06,Ideal,G,VS2,VG,EX,GIA," $6,570 ",
1833,2.02,Very Good,D,VS2,VG,G,GIA," $31,941 ",
1834,1.58,Ideal,H,VVS2,EX,EX,GIA," $13,397 ",
1835,0.91,Very Good,I,VS2,VG,G,GIA," $3,664 ",
1836,1.04,Very Good,G,VVS2,G,G,GIA," $8,107 ",
1837,2.58,Ideal,E,VS2,VG,EX,GIA," $40,625 ",
1838,1.54,Ideal,H,VS1,ID,ID,AGSL," $12,120 ",
1839,1.23,Ideal,H,VVS2,EX,EX,GIA," $8,509 ",
1840,0.96,Very Good,H,SI1,EX,VG,GIA," $4,027 ",
1841,2.19,Ideal,G,IF,EX,EX,GIA," $40,667 ",
1842,1.23,Very Good,I,VS2,G,VG,GIA," $5,874 ",
1843,1.2,Very Good,G,VS1,G,VG,GIA," $8,150 ",
1844,1.5,Good,I,VS2,EX,VG,GIA," $8,999 ",
1845,1.0,Good,G,SI1,VG,G,GIA," $4,859 ",
1846,1.21,Very Good,E,VVS2,EX,VG,GIA," $11,213 ",
1847,1.22,Good,G,VS2,EX,VG,GIA," $8,533 ",
1848,1.01,Very Good,G,VS2,EX,G,GIA," $5,777 ",
1849,1.59,Ideal,D,SI1,VG,VG,GIA," $13,298 ",
1850,1.14,Signature-Ideal,G,VS1,ID,ID,AGSL," $9,090 ",
1851,1.09,Ideal,E,VS1,VG,EX,GIA," $8,810 ",
1852,1.15,Very Good,E,VVS1,VG,VG,GIA," $11,906 ",
1853,1.2,Ideal,G,VS1,VG,VG,GIA," $8,954 ",
1854,1.2,Very Good,D,SI1,EX,VG,GIA," $8,089 ",
1855,0.9,Good,E,SI1,VG,VG,GIA," $3,931 ",
1856,2.18,Ideal,H,VS2,EX,EX,GIA," $23,470 ",
1857,0.9,Good,D,SI1,EX,VG,GIA," $4,117 ",
1858,0.91,Very Good,G,VS2,EX,EX,GIA," $5,484 ",
1859,1.0,Very Good,E,SI1,EX,EX,GIA," $6,207 ",
1860,1.14,Ideal,E,VS1,VG,VG,GIA," $8,845 ",
1861,1.5,Very Good,H,VVS1,VG,VG,GIA," $11,654 ",
1862,1.1,Signature-Ideal,G,SI1,ID,ID,AGSL," $6,837 ",
1863,1.0,Very Good,E,SI1,VG,VG,GIA," $5,051 ",
1864,1.72,Ideal,G,SI1,ID,ID,AGSL," $13,215 ",
1865,2.02,Very Good,H,VS1,VG,VG,GIA," $21,039 ",
1866,1.34,Very Good,I,VS2,VG,VG,GIA," $6,883 ",
1867,1.01,Ideal,D,VS1,EX,EX,GIA," $8,977 ",
1868,0.9,Very Good,D,SI1,VG,VG,GIA," $4,661 ",
1869,1.52,Ideal,F,VVS2,EX,EX,GIA," $20,211 ",
1870,1.0,Very Good,E,VS2,EX,EX,GIA," $7,060 ",
1871,1.2,Very Good,G,IF,EX,EX,GIA," $10,495 ",
1872,1.21,Very Good,D,VVS2,VG,VG,GIA," $13,630 ",
1873,0.85,Ideal,D,SI1,VG,VG,GIA," $3,639 ",
1874,2.0,Good,F,SI1,G,G,GIA," $18,376 ",
1875,1.08,Very Good,G,VS2,VG,G,GIA," $6,777 ",
1876,1.5,Good,F,SI1,G,G,GIA," $11,668 ",
1877,1.52,Very Good,I,SI1,ID,EX,AGSL," $9,163 ",
1878,1.04,Ideal,G,VS2,VG,VG,GIA," $6,481 ",
1879,1.02,Very Good,E,SI1,VG,VG,GIA," $5,207 ",
1880,1.64,Signature-Ideal,I,VS2,ID,ID,AGSL," $12,199 ",
1881,2.0,Good,G,VS2,EX,G,GIA," $20,426 ",
1882,2.64,Very Good,D,IF,VG,EX,GIA," $93,813 ",
1883,0.9,Very Good,I,SI1,G,G,GIA," $3,168 ",
1884,1.01,Very Good,G,VS1,EX,EX,GIA," $6,905 ",
1885,0.9,Ideal,H,VS1,VG,EX,AGSL," $4,634 ",
1886,0.9,Good,F,VS1,VG,VG,GIA," $4,508 ",
1887,0.9,Very Good,H,VS2,VG,VG,GIA," $4,314 ",
1888,1.4,Ideal,G,VVS2,VG,VG,GIA," $14,231 ",
1889,2.01,Very Good,D,SI1,VG,VG,GIA," $21,440 ",
1890,2.09,Very Good,H,VS2,EX,VG,GIA," $22,791 ",
1891,0.91,Good,D,SI1,VG,G,GIA," $4,265 ",
1892,0.92,Very Good,D,SI1,VG,VG,GIA," $5,209 ",
1893,1.01,Very Good,F,SI1,EX,EX,GIA," $5,231 ",
1894,0.79,Ideal,E,SI1,G,G,GIA," $3,171 ",
1895,1.83,Ideal,G,VS2,EX,EX,GIA," $19,293 ",
1896,1.06,Ideal,F,VVS1,VG,EX,GIA," $10,307 ",
1897,0.9,Good,D,SI1,EX,EX,GIA," $4,362 ",
1898,1.0,Good,D,VVS2,VG,EX,GIA," $8,949 ",
1899,0.76,Ideal,D,SI1,EX,EX,GIA," $3,306 ",
1900,2.13,Ideal,H,SI1,EX,EX,GIA," $19,969 ",
1901,2.03,Ideal,F,VS2,EX,EX,GIA," $27,293 ",
1902,1.55,Ideal,I,VS1,ID,ID,AGSL," $10,583 ",
1903,1.08,Good,E,SI1,VG,VG,GIA," $5,575 ",
1904,0.79,Very Good,F,SI1,G,VG,GIA," $2,878 ",
1905,1.06,Very Good,G,SI1,EX,EX,GIA," $5,435 ",
1906,1.37,Ideal,I,VS2,ID,ID,AGSL," $7,966 ",
1907,1.5,Very Good,E,SI1,EX,EX,GIA," $11,194 ",
1908,2.0,Good,G,VS2,VG,G,GIA," $24,376 ",
1909,1.46,Very Good,D,IF,EX,VG,AGSL," $25,848 ",
1910,2.32,Very Good,F,VS2,VG,G,GIA," $32,906 ",
1911,2.08,Ideal,E,VS1,EX,EX,GIA," $35,771 ",
1912,0.76,Very Good,G,VVS2,G,G,GIA," $3,394 ",
1913,1.05,Very Good,H,SI1,VG,VG,GIA," $5,406 ",
1914,2.07,Very Good,G,VS2,G,G,GIA," $27,305 ",
1915,1.28,Ideal,G,VVS2,EX,EX,GIA," $11,996 ",
1916,1.01,Ideal,H,SI1,VG,VG,GIA," $4,886 ",
1917,2.01,Very Good,G,VS1,VG,G,GIA," $25,556 ",
1918,1.01,Ideal,D,VVS2,VG,VG,GIA," $10,819 ",
1919,1.09,Ideal,I,VS2,EX,EX,GIA," $5,421 ",
1920,0.8,Very Good,G,SI1,G,VG,GIA," $2,885 ",
1921,1.01,Ideal,E,VS2,VG,VG,GIA," $6,956 ",
1922,1.01,Ideal,G,VS2,ID,ID,AGSL," $6,439 ",
1923,0.78,Ideal,G,VS1,EX,EX,GIA," $3,736 ",
1924,2.61,Ideal,I,SI1,EX,EX,GIA," $22,110 ",
1925,2.51,Ideal,D,VS1,VG,VG,GIA," $46,395 ",
1926,1.05,Very Good,I,VS2,VG,VG,GIA," $4,975 ",
1927,1.76,Good,H,SI1,G,VG,GIA," $12,429 ",
1928,1.16,Ideal,G,SI1,EX,EX,GIA," $5,908 ",
